name,file,line_start,scc_id,scc_kind,translated
test_404_no_retry,htslib/test/test_hfile_libcurl.c,376,,,FALSE
test_retry_exhaustion,htslib/test/test_hfile_libcurl.c,407,,,FALSE
test_retry_disabled,htslib/test/test_hfile_libcurl.c,436,,,FALSE
main,htslib/test/test_hfile_libcurl.c,464,,,FALSE
cram_update_curr_slice,htslib/cram/cram_encode.c,3258,,,FALSE
string_pool_destroy,htslib/cram/string_alloc.c,103,,,TRUE
mfdestroy,htslib/cram/mFILE.c,408,,,TRUE
mfflush,htslib/cram/mFILE.c,607,,,TRUE
mfclose,htslib/cram/mFILE.c,361,,,TRUE
ref_entry_free_seq,htslib/cram/cram_io.c,2417,,,TRUE
refs_free,htslib/cram/cram_io.c,2427,,,TRUE
free_bam_list,htslib/cram/cram_io.c,3695,,,TRUE
cram_free_block,htslib/cram/cram_io.c,1565,,,TRUE
cram_free_compression_header,htslib/cram/cram_io.c,4356,,,TRUE
cram_free_slice_header,htslib/cram/cram_io.c,4407,,,TRUE
cram_free_slice,htslib/cram/cram_io.c,4419,,,FALSE
cram_stats_free,htslib/cram/cram_stats.c,223,,,TRUE
cram_free_container,htslib/cram/cram_io.c,3703,,,TRUE
le_to_u32,htslib/htslib/hts_endian.h,142,,,TRUE
le_int4,htslib/cram/os.h,155,,,TRUE
int32_encode,htslib/cram/cram_io.c,1020,,,TRUE
hputc2,htslib/hfile.c,400,,,TRUE
hputc,htslib/htslib/hfile.h,263,,,TRUE
cram_write_block,htslib/cram/cram_io.c,1511,,,TRUE
itf8_put,htslib/cram/cram_io.c,277,,,TRUE
cram_write_container,htslib/cram/cram_io.c,4021,,,FALSE
new_string_pool,htslib/cram/string_alloc.c,75,,,TRUE
string_alloc,htslib/cram/string_alloc.c,117,,,TRUE
string_ndup,htslib/cram/string_alloc.c,153,,,TRUE
kstrtok,htslib/kstring.c,187,,,TRUE
sam_hrecs_add_ref_altnames,htslib/header.c,88,,,FALSE
sam_hrecs_find_key,htslib/header.c,3009,,,FALSE
sam_hrecs_vupdate,htslib/header.c,2939,,,FALSE
sam_hrecs_update,htslib/header.c,2990,,,FALSE
TYPEKEY,htslib/header.h,58,,,TRUE
sam_hrecs_update_hashes,htslib/header.c,141,,,FALSE
sam_hrecs_global_list_add,htslib/header.c,500,,,FALSE
sam_hrecs_free_tags,htslib/header.c,694,1,self,FALSE
known_stderr,htslib/header.c,780,,,TRUE
fast_exp,htslib/kstring.c,351,,,TRUE
karp_rabin,htslib/kstring.c,365,,,TRUE
ksBM_prep,htslib/kstring.c,405,,,TRUE
boyer_moore,htslib/kstring.c,449,,,TRUE
kmemmem,htslib/kstring.c,496,,,TRUE
warn_if_known_stderr,htslib/header.c,788,,,TRUE
parse_comment_line,htslib/header.c,800,,,FALSE
parse_noncomment_line,htslib/header.c,826,,,FALSE
isalpha_c,htslib/textutils_internal.h,170,,,TRUE
